"posicao","verdadeiros positivos","verdadeiros negativos","falsos positivos","falsos negativos"
"1",365,88,180,83
"2",337,67,204,65
"3",362,69,195,93
"4",356,62,186,77
"5",379,50,166,75
"6",371,67,182,56
